Experiment: Apr28_cal_tst_expt vial 9, Thu Apr 28 17:02:30 2022
7.4635,33823
7.4689,33856
7.4745,33595
7.4801,33897
7.4857,33784
7.4911,33743
7.4967,33840
7.5023,33816
7.508,33808
7.5133,33770
7.5189,33764
7.5246,33786
7.5302,33920
7.5356,33794
7.5412,33871
7.5468,33720
7.5525,33793
7.5579,33847
7.5635,33862
7.5691,33842
7.5744,34020
7.5801,33827
7.5857,33946
7.5914,33809
7.5967,33947
7.6023,33937
7.608,33809
7.6133,33887
7.619,33879
7.6246,33818
7.6302,33833
7.6356,33838
7.6412,34034
7.6468,33862
7.6525,33883
7.6578,34019
7.6634,33959
7.669,33972
7.6747,33980
7.68,33827
7.6857,34016
7.6913,34042
7.6969,34032
7.7023,34044
7.7079,34064
7.7135,33905
7.7191,33884
7.7245,33868
7.7301,34170
7.7357,33911
7.7413,33974
7.7467,33979
7.7523,34013
7.7579,34038
7.7636,33924
7.7689,34058
7.7745,34074
7.7802,34020
7.7858,34137
7.7911,34029
7.7968,33978
7.8024,33997
7.808,34081
7.8134,34253
7.819,34146
7.8246,34067
7.83,34269
7.8356,34022
7.8413,34113
7.8469,34156
7.8522,34175
7.8579,34099
7.8635,34110
7.8691,34116
7.8745,34270
7.8801,34201
7.8858,33944
7.8914,34164
7.8967,34203
7.9024,34215
7.908,34044
7.9133,34308
7.9189,34167
7.9246,34231
7.9302,34222
7.9358,34139
7.9412,34321
7.9468,34301
7.9524,34301
7.958,34178
7.9634,34114
7.969,34180
7.9746,34150
7.98,34171
7.9856,34349
7.9912,34277
7.9969,34269
8.0022,34258
8.0079,34209
8.0135,34229
8.0191,34146
8.0245,34423
8.0301,34406
8.0357,34280
8.0414,34239
8.0467,34362
8.0523,34401
8.0579,34215
8.0636,34341
8.0689,34347
8.0746,34270
8.0802,34383
8.0856,34313
8.0912,34296
8.0968,34207
8.1024,34258
8.108,34282
8.1134,34505
8.119,34349
8.1246,34342
8.1302,34360
8.1356,34513
8.1412,34438
8.1468,34293
8.1524,34347
8.1578,34457
8.1634,34393
8.169,34503
8.1747,34393
8.18,34374
8.1857,34415
8.1913,34422
8.1969,34475
8.2023,34519
8.2079,34338
8.2135,34390
8.2189,34460
8.2245,34573
8.2301,34522
8.2357,34358
8.2414,34418
8.2467,34525
8.2523,34433
8.258,34503
8.2636,34551
8.2689,34575
8.2746,34576
8.2802,34526
8.2858,34484
8.2911,34450
8.2968,34713
8.3024,34497
8.308,34576
8.3134,34656
8.319,34514
8.3247,34496
8.33,34656
8.3356,34642
8.3413,34471
8.3469,34536
8.3522,34518
8.3578,34692
8.3634,34697
8.369,34474
8.3746,34540
8.3802,34634
8.3856,34569
8.3911,34631
8.3968,34719
8.4024,34616
8.408,34552
8.4134,34739
8.419,34608
8.4246,34555
8.4302,34799
8.4358,34716
8.4411,34680
8.4468,34496
8.4524,34665
8.458,34723
8.4634,34593
8.469,34721
8.4746,34723
8.4802,34569
8.4856,34616
8.4912,34686
8.4968,34565
8.5024,34678
8.508,34505
8.5134,34538
8.519,34696
8.5246,34626
8.5302,34741
8.5356,34667
8.5412,34633
8.5468,34566
8.5524,34664
8.558,34604
8.5634,34695
8.569,34742
8.5746,34613
8.5802,34835
8.5856,34789
8.5912,34648
8.5968,34591
8.6025,34648
8.6078,34569
8.6135,34574
8.6191,34708
8.6247,34643
8.63,34785
8.6357,34762
8.6413,34501
8.6469,34731
8.6523,34672
8.6579,34763
8.6635,34637
8.6692,34603
8.6745,34766
8.6801,34627
8.6858,34767
8.6911,34644
8.6968,34705
8.7024,34652
8.708,34716
8.7134,34662
8.719,34830
8.7246,34823
8.7302,34685
8.7356,34629
8.7412,34712
8.7468,34701
8.7525,34617
8.7578,34683
8.7634,34685
8.7691,34770
8.7747,34719
8.7801,34590
8.7857,34625
8.7913,34584
8.7969,34746
8.8022,34621
8.8079,34707
8.8135,34789
8.8191,34612
8.8245,34678
8.8301,34643
8.8357,34818
8.8413,34639
8.8467,34776
8.8523,34733
8.8579,34684
8.8636,34707
8.8689,34718
8.8745,34756
8.8802,34785
8.8858,34605
8.8911,34886
8.8967,34775
8.9023,34711
8.908,34716
8.9136,34656
8.919,34523
8.9246,34612
8.9302,34777
8.9358,34674
8.9412,34798
8.9468,34572
8.9524,34738
8.9581,34733
8.9634,34654
8.9691,34622
8.9747,34568
8.98,34689
8.9857,34712
8.9913,34750
8.9969,34705
9.0023,34819
9.0079,34718
9.0135,34720
9.0192,34789
9.0245,34709
9.0302,34617
9.0358,34767
9.0412,34737
9.0468,34722
9.0524,34605
9.0578,34754
9.0634,34816
9.069,34758
9.0747,34711
9.0803,34741
9.0857,34822
9.0913,34683
9.0969,34738
9.1022,34655
9.1079,34660
9.1135,34753
9.1191,34869
9.1245,34864
9.1301,34736
9.1357,34773
9.1414,34795
9.1467,34732
9.1524,34819
9.158,34696
9.1636,34630
9.169,34861
9.1746,34770
9.1802,34856
9.1856,34750
9.1912,34663
9.1969,34697
9.2025,34643
9.2078,34732
9.2135,34544
9.2191,34752
9.2247,34788
9.2301,34722
9.2357,34520
9.2414,34658
9.2467,34670
9.2523,34688
9.258,34578
9.2633,34767
9.269,34820
9.2746,34689
9.2802,34678
9.2858,34799
9.2912,34768
9.2968,34632
9.3024,34791
9.3081,34755
9.3134,34686
9.319,34748
9.3247,34736
9.33,34845
9.3357,34665
9.3413,34555
9.3469,34631
9.3522,34747
9.3579,34616
9.3635,34721
9.3691,34510
9.3745,34572
9.3801,34778
9.3857,34691
9.3914,34728
9.3967,34658
9.4023,34581
9.408,34690
9.4136,34591
9.4189,34657
9.4246,34725
9.4302,34677
9.4356,34763
9.4412,34704
9.4468,34699
9.4524,34570
9.4578,34568
9.4634,34636
9.4691,34517
9.4747,34675
9.48,34672
9.4857,34716
9.4913,34707
9.4969,34741
