Experiment: Apr29_NP_tst_expt vial 5, Fri Apr 29 15:50:36 2022
5.8904,54974
5.896,54967
5.9013,54974
5.907,54966
5.9126,54962
5.9182,54968
5.9236,54974
5.9292,54971
5.9348,54968
5.9404,54963
5.9458,54964
5.9514,54973
5.957,54969
5.9624,54968
5.968,54959
5.9736,54967
5.9793,54970
5.9849,54930
5.9902,54965
5.9959,54961
6.0015,54960
6.0068,54970
6.0125,54958
6.0181,54963
6.0237,54954
6.0291,54965
6.0347,54973
6.0404,54959
6.046,54961
6.0513,54965
6.057,54967
6.0626,54958
6.068,54942
6.0736,54967
6.0792,54966
6.0848,54966
6.0902,54961
6.0958,54959
6.1015,54965
6.1071,54968
6.1124,54967
6.1181,54962
6.1237,54948
6.129,54965
6.1347,54960
6.1403,54952
6.1459,54967
6.1513,54902
6.1569,54965
6.1625,54972
6.1681,54970
6.1738,54974
6.1791,54962
6.1848,54972
6.1904,54973
6.1957,54968
6.2014,54963
6.207,54962
6.2126,54958
6.218,54963
6.2236,54970
6.2292,54968
6.2348,54969
6.2402,54967
6.2458,54967
6.2514,54964
6.2571,54948
6.2624,54966
6.268,54967
6.2737,54930
6.2793,54965
6.2847,54962
6.2903,54969
6.2959,54968
6.3015,54940
6.3069,54960
6.3125,54964
6.3181,54967
6.3238,54968
6.3291,54965
6.3347,54965
6.3404,54977
6.3457,54962
6.3514,54966
6.357,54954
6.3626,54938
6.368,54966
6.3736,54972
6.3792,54975
6.3848,54938
6.3902,54956
6.3958,54963
6.4014,54967
6.4071,54970
6.4124,54958
6.4181,54976
6.4237,54956
6.4293,54945
6.4347,54982
6.4403,54977
6.4459,54971
6.4513,54972
6.4569,54968
6.4625,54964
6.4681,54977
6.4738,54979
6.4791,54966
6.4848,54971
6.4904,54972
6.496,54966
6.5014,54967
6.507,54967
6.5126,54975
6.5182,54968
6.5236,54970
6.5292,54966
6.5348,54970
6.5404,54972
6.5458,54968
6.5514,54969
6.557,54971
6.5627,54970
6.568,54965
6.5736,54969
6.5793,54975
6.5849,54973
6.5902,54964
6.5959,54969
6.6015,54976
6.6068,54969
6.6124,54970
6.6181,54975
6.6237,54968
6.6293,54969
6.6347,54957
6.6403,54971
6.6459,54968
6.6515,54969
6.6569,54970
6.6625,54969
6.6681,54972
6.6738,54966
6.6791,54976
6.6848,54969
6.6902,54965
6.6958,54971
6.7015,54964
6.7071,54975
6.7124,54964
6.718,54903
6.7236,54972
6.7293,54972
6.7349,54958
6.7402,54969
6.7458,54975
6.7514,54948
6.7569,54971
6.7625,54980
6.7681,54970
6.7736,54965
6.7792,54978
6.7847,54973
6.7903,54973
6.796,54975
6.8013,54972
6.8069,54964
6.8125,54971
6.8181,54957
6.8237,54970
6.8291,54962
6.8347,54966
6.8403,54965
6.8459,54975
6.8513,54961
6.857,54938
6.8626,54944
6.868,54972
6.8736,54979
6.8792,54970
6.8848,54970
6.8904,54947
6.8958,54968
6.9014,54973
6.9071,54974
6.9124,54961
6.9181,54977
6.9237,54933
6.9293,54975
6.9347,54971
6.9403,54958
6.9459,54971
6.9515,54972
6.9569,54968
6.9625,54978
6.9682,54978
6.9738,54975
6.9791,54971
6.9848,54948
6.9904,54899
6.9957,54967
7.0014,54964
7.007,54976
7.0126,54969
7.018,54986
7.0236,54978
7.0292,54982
7.0349,54951
7.0402,54977
7.0458,54979
7.0515,54979
7.0571,54978
7.0624,54967
7.0681,54976
7.0737,54972
7.0793,54986
7.0846,54980
7.0903,54980
7.0959,54980
7.1015,54986
7.1069,54981
7.1125,54973
7.1181,54976
7.1237,54980
7.1291,54987
7.1347,54982
7.1403,54967
7.146,54977
7.1513,54983
7.157,54980
7.1626,54977
7.1682,54980
7.1735,54984
7.1792,54986
7.1848,54972
7.1904,54977
7.1958,54980
7.2014,54958
7.207,54975
7.2127,54978
7.218,54964
7.2237,54973
7.2293,54968
7.2349,54973
7.2402,54975
7.2459,54969
7.2515,54979
7.2569,54966
7.2625,54975
7.2681,54972
7.2737,54966
7.2791,54979
7.2847,54969
7.2903,54965
7.296,54978
7.3013,54975
7.3069,54971
7.3126,54964
7.3182,54977
7.3238,54976
7.3292,54981
7.3348,54980
7.3404,54977
7.3458,54976
7.3514,54978
7.357,54985
7.3627,54984
7.368,54980
7.3736,54977
7.3793,54980
7.3846,54964
7.3903,54960
7.3959,54911
7.4015,54974
7.4071,54979
7.4125,54978
7.4181,54951
7.4238,54983
7.4291,54980
7.4347,54974
7.4404,54970
7.446,54977
7.4513,54973
7.457,54980
7.4626,54979
7.4682,54973
7.4736,54982
7.4792,54982
7.4848,54983
7.4905,54982
7.4958,54984
7.5014,54982
7.507,54971
7.5127,54979
7.518,54987
7.5236,54983
7.5293,54976
7.5346,54980
7.5403,54882
7.5459,54934
7.5515,54976
7.5571,54980
7.5625,54968
7.5681,54969
7.5737,54976
7.5791,54978
7.5847,54974
7.5903,54980
7.596,54975
7.6013,54982
7.607,54982
7.6126,54908
7.618,54974
7.6236,54984
7.6292,54976
7.6349,54981
7.6402,54956
7.6459,54975
7.6515,54979
7.6571,54946
7.6625,54934
7.6681,54971
7.6737,54982
7.6791,54980
7.6847,54965
7.6904,54960
7.696,54971
7.7013,54912
7.707,54945
7.7126,54935
7.7182,54972
7.7236,54979
7.7292,54981
7.7348,54978
7.7405,54951
7.7458,54958
7.7514,54980
7.757,54977
7.7627,54981
7.768,54975
7.7737,54976
7.7793,54944
7.7846,54976
7.7903,54958
7.7959,54921
7.8015,54979
7.8069,54976
7.8125,54974
7.8181,54977
7.8237,54972
7.8294,54973
7.8347,54946
7.8403,54965
7.846,54976
7.8516,54976
7.857,54972
7.8626,54973
7.8682,54971
7.8736,54924
7.8792,54985
7.8848,54988
7.8902,54973
7.8958,54960
7.9014,54984
7.9071,54932
7.9127,54974
7.918,54983
7.9236,54980
7.9292,54983
7.9348,54980
7.9402,54980
7.9458,54980
7.9514,54975
7.9571,54983
7.9624,54978
7.9681,54972
7.9736,54941
7.9792,54972
7.9849,54979
7.9902,54979
7.9959,54980
8.0014,54968
8.007,54972
8.0124,54983
8.018,55083
8.0237,55076
8.0292,55069
8.0349,55082
8.0402,55077
8.0459,55076
8.0515,55072
8.0569,55077
8.0625,55081
8.0681,55085
8.0737,55050
8.0794,55081
8.0847,55039
8.0903,55062
8.096,55078
8.1013,55080
8.1069,55071
8.1126,55068
8.1182,55083
8.1235,55070
8.1291,55078
8.1347,55085
8.1403,55075
8.146,55080
8.1516,55080
8.1569,55082
8.1625,55089
8.1681,55074
8.1738,55057
8.1791,55077
8.1847,55080
8.1903,55087
8.196,55083
8.2013,55081
8.2069,55078
8.2125,55079
8.2181,55081
8.2238,55085
8.2291,55081
8.2347,55090
8.2403,55089
8.246,55087
8.2513,55086
8.2569,55089
8.2626,55076
8.2681,55078
8.2738,55069
8.2791,55056
8.2847,55089
8.2904,55073
8.2959,55090
8.3013,55092
8.3069,55084
8.3125,55090
8.3182,55093
8.3235,55087
8.3291,55086
8.3348,55089
8.3404,55086
8.3458,55087
8.3514,55091
8.357,55084
8.3626,55085
8.368,55079
8.3736,55090
8.3792,55092
8.3849,55093
8.3902,55086
8.3958,55085
8.4015,55086
8.4071,55034
8.4124,54993
8.4181,55086
8.4237,55090
8.4293,55096
8.4347,55081
8.4403,55080
8.4459,55094
8.4516,55087
8.4569,55095
8.4625,55088
8.4682,55092
8.4738,55085
8.4791,55084
8.4848,55097
8.4904,55095
8.4958,55073
8.5014,55071
8.507,55090
8.5126,55096
8.5182,55031
8.5236,55073
8.5292,55043
8.5348,55096
8.5402,55094
8.5458,55082
8.5514,55089
8.5571,55073
8.5624,55078
8.568,55051
8.5736,55083
8.5793,55087
8.5846,55083
8.5902,55066
8.5959,55087
8.6015,55085
8.6071,55087
8.6125,55091
8.6181,55087
8.6237,55074
8.6293,55072
8.6347,55079
8.6403,55083
8.6459,55084
8.6515,55087
8.6569,55082
8.6625,55079
8.6682,55079
8.6738,55083
8.6791,55082
8.6847,55081
8.6904,55087
8.696,55080
8.7013,55083
8.707,55093
8.7126,55094
8.718,55094
8.7236,55091
8.7292,55097
8.7348,55086
8.7402,55087
8.7458,55090
8.7514,55089
8.7571,55087
8.7627,55087
8.768,55092
8.7737,55096
8.7793,55090
8.7849,55091
8.7903,55093
8.7959,55095
8.8015,55094
8.8069,55089
8.8125,55092
8.8181,55088
8.8238,55087
8.8291,55085
8.8347,55089
8.8403,55090
8.846,55080
8.8513,55079
8.857,55088
8.8624,55093
8.8681,55087
8.8736,55086
8.8792,55082
8.8848,55084
8.8905,55090
8.8958,55083
8.9014,55079
8.9071,55082
8.9124,55082
8.918,55085
8.9237,55087
8.9293,55082
8.9346,55084
8.9403,55084
8.9459,55088
8.9515,55087
8.9569,55089
8.9625,55083
8.9681,55078
8.9738,55080
8.9791,55083
8.9848,55082
8.9904,55076
8.9957,55081
9.0014,55084
9.007,55087
9.0126,55085
9.0182,55079
9.0236,55085
9.0292,55082
9.0349,55081
9.0402,55083
9.0458,55076
9.0514,55085
9.0571,55073
9.0627,55084
9.0681,55081
9.0738,55052
9.0791,54767
9.0848,54924
9.0904,54943
9.096,54784
9.1013,54765
9.1069,54837
9.1126,54614
9.1182,54365
9.1235,54616
9.1292,54787
9.1348,54867
9.1404,53979
9.1458,54610
9.1514,55203
9.1571,54785
9.1624,54916
9.1681,54778
9.1737,54967
9.1793,55063
9.1847,55052
9.1903,55028
9.1959,54969
9.2015,54361
9.2071,54567
9.2125,54749
9.2181,54995
9.2237,55096
9.2293,54986
9.2346,54996
9.2403,55051
9.2459,55067
9.2515,55047
9.2569,55086
9.2625,55082
9.2681,55076
9.2737,55070
9.2793,55079
9.2847,55059
9.2903,55081
9.2959,55092
9.3015,55081
9.3069,55101
9.3125,55096
9.3181,55090
9.3237,55067
9.3293,55088
9.3347,55089
9.3403,55088
9.3459,55087
9.3515,55094
9.3569,55094
9.3625,55088
9.3681,55069
9.3737,55094
9.3791,55069
9.3847,55083
9.3903,55093
9.396,55091
9.4013,55098
9.4069,55091
9.4125,55093
9.4182,55096
9.4238,55088
9.4292,55090
9.4348,55042
9.4404,55077
9.446,55088
9.4514,55088
9.457,55082
9.4626,55080
9.4682,55094
9.4736,55094
9.4792,55094
9.4848,55089
9.4905,55091
9.4958,55092
9.5015,55089
9.5071,55049
9.5125,55004
9.5181,55017
9.5237,54974
9.5291,54943
9.5348,54949
9.5404,55063
9.546,54974
9.5514,55069
9.557,55070
9.5626,55029
9.5682,55000
9.5736,55037
9.5792,55048
9.5848,55071
9.5905,55057
9.5958,55072
9.6014,55077
9.607,55043
9.6126,55081
9.618,55089
9.6236,55079
9.6292,55080
9.6348,55089
9.6404,55075
9.6458,55088
9.6514,55084
9.657,55090
9.6626,55084
9.668,55091
9.6736,55093
9.6792,55085
9.6848,55076
9.6904,55050
9.696,55087
9.7014,55099
