Experiment: July_9_negative_cntrl_expt vial 4, Fri Jul  9 17:30:40 2021
4.3305,32670
4.3359,32670
4.3415,32669
4.3472,32671
4.3525,32672
4.3582,32668
4.3638,32672
4.3695,32665
4.3748,32667
4.3805,32667
4.3859,32669
4.3915,32669
4.3972,32672
4.4025,32668
4.4081,32668
4.4138,32670
4.4194,32671
4.4248,32668
4.4304,32671
4.4361,32667
4.4414,32665
4.4471,32674
4.4527,32670
4.4581,32671
4.4637,32665
4.4693,32665
4.475,32665
4.4803,32667
4.486,32668
4.4916,32670
4.497,32669
4.5026,32666
4.5082,32666
4.5139,32669
4.5193,32669
4.5248,32667
4.5304,32669
4.5361,32665
4.5414,32666
4.5471,32668
4.5526,32670
4.5582,32670
4.5639,32666
4.5692,32668
4.5749,32665
4.5804,32667
4.586,32666
4.5917,32666
4.597,32663
4.6027,32668
4.6082,32668
4.6138,32667
4.6192,32667
4.6247,32665
4.6304,32669
4.636,32667
4.6416,32667
4.647,32671
4.6526,32671
4.6583,32669
4.6637,32666
4.6693,32669
4.6747,32675
4.6804,32669
4.686,32670
4.6916,32670
4.697,32668
4.7026,32669
4.7081,32669
4.7138,32668
4.7194,32668
4.7247,32666
4.7304,32668
4.736,32665
4.7417,32669
4.747,32669
4.7527,32662
4.7581,32670
4.7637,32662
4.7694,32666
4.7747,32671
4.7804,32666
4.786,32667
4.7917,32668
4.7971,32669
4.8027,32670
4.8081,32667
4.8137,32671
4.8194,32669
4.8248,32667
4.8304,32668
4.8361,32671
4.8414,32672
4.8471,32665
4.8527,32669
4.8581,32667
4.8638,32668
4.8694,32670
4.8748,32671
4.8804,32669
4.8861,32667
4.8914,32668
4.8971,32665
4.9027,32668
4.9081,32668
4.9138,32670
4.9194,32662
4.9248,32665
4.9304,32665
4.9361,32666
4.9414,32665
4.9471,32667
4.9527,32668
4.9581,32665
4.9637,32670
4.9694,32673
4.9748,32670
4.9804,32668
4.9861,32667
4.9914,32670
4.9971,32668
5.0027,32670
5.0081,32667
5.0137,32666
5.0193,32664
5.0248,32662
5.0305,32665
5.0361,32664
5.0415,32667
5.0471,32669
5.0528,32667
5.0581,32668
5.0638,32671
5.0694,32667
5.0748,32669
5.0804,32667
5.0861,32668
5.0915,32669
5.0971,32666
5.1028,32666
5.1081,32669
5.1138,32664
5.1194,32664
5.1248,32664
5.1304,32666
5.136,32671
5.1415,32667
5.1472,32668
5.1528,32667
5.1582,32668
5.1638,32670
5.1692,32668
5.1748,32670
5.1805,32672
5.1859,32667
5.1915,32669
5.1972,32669
5.2028,32669
5.2082,32672
5.2138,32668
5.2194,32667
5.2248,32668
5.2305,32667
5.2361,32668
5.2415,32666
5.2471,32668
5.2528,32669
5.2581,32667
5.2638,32664
5.2694,32668
5.2748,32668
5.2804,32667
5.2861,32669
5.2914,32668
5.2971,32669
5.3027,32672
5.3082,32670
5.3139,32667
5.3192,32667
5.3249,32669
5.3305,32669
5.3361,32670
5.3415,32670
5.3471,32671
5.3528,32671
5.3581,32668
5.3638,32668
5.3694,32671
5.3748,32669
5.3804,32667
5.3861,32667
5.3914,32664
5.3971,32667
5.4027,32666
5.4082,32669
5.4139,32670
5.4192,32670
5.4249,32670
5.4306,32665
5.4359,32667
5.4415,32667
5.4472,32669
5.4526,32670
5.4582,32668
5.4638,32668
5.4692,32667
5.4748,32667
5.4805,32664
5.4861,32667
5.4915,32669
5.4971,32668
5.5028,32670
5.5081,32669
5.5138,32671
5.5194,32669
5.5248,32666
5.5304,32666
5.5361,32665
5.5414,32666
5.5471,32665
5.5527,32669
5.5581,32670
5.5637,32665
5.5694,32670
5.5749,32669
5.5803,32667
5.586,32668
5.5916,32668
5.5972,32666
5.6026,32666
5.6082,32664
5.6136,32667
5.6193,32667
5.6249,32669
5.6305,32669
5.6359,32665
5.6415,32667
5.6472,32665
5.6525,32669
5.6582,32666
5.6638,32668
5.6694,32666
5.6748,32669
5.6805,32668
5.6861,32667
5.6914,32666
5.6971,32667
5.7027,32669
5.7081,32675
5.7138,32667
5.7194,32671
5.7248,32666
5.7305,32668
5.7361,32668
5.7415,32669
5.7471,32668
5.7528,32669
5.7581,32668
5.7638,32665
5.7694,32667
5.7748,32667
5.7804,32669
5.786,32670
5.7917,32668
5.797,32668
5.8027,32669
5.8083,32669
5.8137,32669
5.8193,32667
5.825,32665
5.8303,32667
5.836,32668
5.8417,32667
5.847,32671
5.8527,32669
5.8583,32666
5.8637,32668
5.8694,32672
5.875,32670
5.8804,32670
5.886,32671
5.8914,32669
5.897,32667
5.9027,32670
5.9083,32669
5.9137,32666
5.9194,32670
5.925,32669
5.9303,32670
5.936,32671
5.9416,32669
5.947,32670
5.9526,32667
5.9583,32667
5.9636,32666
5.9693,32667
5.9749,32670
5.9806,32668
5.9859,32664
5.9914,32667
5.9971,32667
6.0027,32668
6.0084,32672
6.0137,32670
6.0193,32668
6.0249,32667
6.0305,32668
6.0359,32669
6.0416,32668
6.0471,32668
6.0527,32669
6.0584,32670
6.0637,32664
6.0694,32667
6.0749,32667
6.0805,32667
6.0859,32666
6.0915,32664
6.0972,32667
6.1027,32668
6.1083,32668
6.1137,32667
6.1193,32665
6.125,32665
6.1305,32670
6.1361,32669
6.1415,32665
6.1471,32666
