Experiment: April_28_Phage_Osmo_expt vial 6, Wed Apr 28 17:10:55 2021
4.1081,28293
4.1135,28295
4.1192,28281
4.1247,28290
4.1303,28288
4.1359,28287
4.1413,28293
4.1469,28295
4.1525,28295
4.1581,28288
4.1635,28298
4.1691,28295
4.1747,28289
4.1803,28282
4.1859,28289
4.1913,28282
4.1969,28286
4.2026,28282
4.208,28284
4.2136,28285
4.2193,28291
4.2246,28285
4.2303,28287
4.2359,28285
4.2415,28285
4.2469,28298
4.2525,28289
4.2579,28292
4.2636,28300
4.2692,28301
4.2748,28298
4.2802,28305
4.2858,28292
4.2914,28299
4.2968,28304
4.3025,28291
4.3081,28291
4.3137,28287
4.3191,28297
4.3247,28289
4.3304,28278
4.3357,28279
4.3413,28270
4.347,28283
4.3526,28283
4.358,28289
4.3636,28289
4.3692,28275
4.3749,28281
4.3803,28275
4.3859,28282
4.3913,28278
4.397,28268
4.4026,28273
4.408,28277
4.4136,28279
4.4192,28279
4.4246,28274
4.4302,28272
4.4359,28268
4.4415,28270
4.4469,28269
4.4525,28265
4.4581,28266
4.4635,28278
4.4691,28272
4.4747,28270
4.4804,28271
4.4857,28274
4.4914,28268
4.497,28259
4.5026,28275
4.508,28276
4.5136,28277
4.5192,28275
4.5246,28286
4.5302,28296
4.5359,28279
4.5413,28288
4.547,28297
4.5526,28297
4.558,28296
4.5636,28304
4.5693,28306
4.5746,28307
4.5803,28309
4.5859,28310
4.5915,28303
4.5969,28308
4.6025,28305
4.6079,28311
4.6135,28307
4.6192,28313
4.6248,28303
4.6302,28316
4.6358,28311
4.6414,28305
4.647,28310
4.6524,28309
4.658,28318
4.6637,28315
4.6691,28314
4.6747,28329
4.6802,28316
4.6858,28329
4.6915,28317
4.6968,28324
4.7025,28322
4.7081,28319
4.7135,28332
4.7192,28326
4.7248,28314
4.7302,28308
4.7358,28313
4.7415,28310
4.7468,28308
4.7524,28311
4.7581,28309
4.7637,28311
4.7691,28320
4.7747,28326
