Experiment: Feb_8_Batch_expt_zeroed vial 8, Mon Feb  8 17:45:11 2021
3.4326,26120
3.4382,26135
3.4436,26106
3.4493,26079
3.4547,26121
3.4603,26087
3.466,26074
3.4716,26080
3.477,26076
3.4826,26048
3.488,26012
3.4937,26029
3.4994,26038
3.5048,26051
3.5104,26023
3.516,26063
3.5214,26017
3.527,26007
3.5327,25988
3.5381,26010
3.5437,25983
3.5493,25967
3.5548,25997
3.5604,25983
3.5658,26003
3.5715,25972
3.5771,26009
3.5825,25978
3.5881,25947
3.5938,25956
3.5992,25977
3.6048,25962
3.6102,25953
3.6159,25933
3.6216,25971
3.627,25931
3.6326,25943
3.6383,25940
3.6437,25918
3.6493,25924
3.6547,25904
3.6604,25928
3.6658,25877
3.6715,25882
3.6771,25889
3.6827,25906
3.6881,25947
3.6938,25881
3.6992,25890
3.7048,25888
3.7105,25897
3.7159,25865
3.7216,25880
3.7272,25874
3.7325,25872
3.7382,25845
3.7438,25884
3.7492,25864
3.7549,25850
3.7605,25853
3.7659,25829
3.7715,25835
3.7772,25837
3.7825,25832
3.7882,25829
3.7938,25829
3.7992,25816
3.8048,25798
3.8105,25823
3.8159,25815
3.8216,25823
3.8272,25800
3.8326,25788
3.8382,25803
3.8436,25807
3.8492,25796
3.8549,25821
3.8603,25786
3.866,25769
3.8714,25788
3.877,25790
3.8827,25765
3.8881,25768
3.8937,25809
3.8994,25774
3.9047,25734
3.9104,25763
3.916,25737
3.9214,25739
3.9271,25739
3.9328,25726
3.9381,25737
3.9438,25730
3.9494,25711
3.9548,25736
3.9604,25711
3.9661,25732
3.9715,25716
3.9772,25723
3.9825,25695
3.9882,25715
3.9938,25682
3.9995,25713
4.0048,25710
4.0105,25669
4.0158,25677
4.0215,25672
4.0272,25655
4.0326,25640
4.0382,25661
4.0439,25661
4.0492,25664
4.0548,25642
4.0605,25630
4.0658,25638
4.0715,25653
4.0772,25643
4.0826,25612
4.0882,25620
4.0939,25612
4.0992,25616
4.1049,25654
4.1103,25623
4.1159,25600
4.1215,25598
4.1272,25598
4.1325,25606
4.1382,25580
4.1439,25592
4.1492,25581
4.1549,25610
4.1603,25566
4.166,25587
4.1716,25577
4.177,25562
4.1826,25556
4.1882,25544
4.1938,25535
4.1994,25523
4.2048,25532
4.2104,25535
4.216,25561
4.2214,25536
4.2271,25534
4.2327,25560
4.2381,25500
4.2438,25499
4.2494,25524
4.2548,25557
4.2604,25504
4.2658,25509
4.2715,25476
4.2771,25467
4.2825,25488
4.2881,25484
4.2938,25457
4.2992,25476
4.3049,25496
4.3105,25480
4.3159,25480
4.3215,25474
4.3272,25471
4.3325,25463
4.3382,25456
4.3439,25453
4.3492,25464
4.3549,25447
4.3605,25427
4.3658,25453
4.3715,25433
4.3771,25457
4.3828,25422
4.3881,25428
4.3938,25436
4.3992,25432
4.4049,25427
4.4105,25406
4.4159,25438
4.4215,25366
4.4272,25413
4.4325,25393
4.4382,25396
4.4438,25403
4.4492,25354
4.4549,25374
4.4605,25362
4.4659,25355
4.4715,25368
4.4772,25358
