Experiment: Mar_18_osmo_expt vial 10, Thu Mar 18 18:20:50 2021
8.5,59565
8.5057,59564
8.511,59564
8.5167,59564
8.5223,59563
8.5277,59565
8.5333,59567
8.5389,59566
8.5446,59564
8.5499,59564
8.5556,59565
8.5609,59566
8.5666,59567
8.5722,59566
8.5778,59565
8.5832,59567
8.5888,59563
8.5945,59564
8.5999,59563
8.6055,59566
8.6111,59563
8.6168,59567
8.6221,59567
8.6278,59564
8.6334,59567
8.639,59565
8.6444,59567
8.65,59567
8.6556,59563
8.661,59565
8.6666,59562
8.6722,59563
8.6779,59563
8.6832,59567
8.6889,59562
8.6945,59565
8.6999,59562
8.7056,59563
8.7112,59561
8.7166,59563
8.7222,59562
8.7278,59562
8.7332,59565
8.7388,59564
8.7445,59564
8.7498,59565
8.7555,59562
8.7611,59565
8.7668,59564
8.7721,59564
8.7777,59563
8.7834,59563
8.7887,59566
8.7944,59563
8.8,59565
8.8056,59565
8.811,59564
8.8166,59563
8.8223,59563
8.8279,59566
8.8333,59567
8.8389,59565
8.8445,59567
8.8499,59568
8.8555,59567
8.8611,59568
8.8668,59566
8.8721,59568
8.8778,59568
8.8832,59565
8.8888,59565
8.8945,59565
8.9001,59566
8.9055,59567
8.911,59569
8.9166,59569
8.9223,59568
8.9277,59568
8.9333,59567
8.9388,59567
8.9445,59569
8.9501,59566
8.9555,59569
8.9611,59569
8.9666,59568
8.9723,59570
8.9779,59565
8.9833,59570
8.9889,59568
8.9944,59566
9.0001,59565
9.0055,59567
9.0111,59566
9.0168,59564
9.0221,59563
9.0277,59566
9.0334,59565
9.0387,59565
9.0444,59564
9.05,59566
9.0556,59567
9.061,59567
9.0666,59565
9.0723,59564
9.0776,59565
9.0833,59565
9.0889,59561
9.0945,59566
9.0999,59568
9.1055,59570
9.1112,59561
9.1166,59566
9.1222,59565
9.1279,59562
9.1332,59564
9.1389,59563
9.1445,59565
9.1499,59567
9.1555,59562
9.1612,59565
9.1665,59562
9.1722,59563
9.1778,59562
9.1832,59562
9.1889,59562
9.1945,59562
9.1999,59564
9.2056,59567
9.2112,59559
9.2166,59560
9.2222,59562
9.2279,59564
9.2332,59565
9.2389,59565
9.2445,59565
9.2499,59563
9.2555,59565
9.2612,59565
9.2668,59568
9.2722,59567
9.2778,59566
9.2834,59564
9.2888,59563
9.2944,59566
9.3001,59561
9.3055,59566
9.3111,59565
9.3167,59564
9.3221,59563
9.3277,59566
9.3334,59566
9.3388,59565
9.3444,59562
9.35,59566
9.3554,59565
9.361,59567
9.3667,59564
9.3721,59563
9.3777,59565
9.3833,59563
9.389,59562
