Experiment: Feb_26_Turb_expt vial 3, Fri Feb 26 16:54:25 2021
3.4943,54993
3.5,54989
3.5056,54987
3.5113,54984
3.5166,54982
3.5223,54991
3.5279,54980
3.5333,54978
3.5389,54982
3.5445,54984
3.5502,54977
3.5555,54974
3.5611,54980
3.5668,54984
3.5721,54981
3.5777,54983
3.5834,54978
3.589,54977
3.5946,54978
3.6,54986
3.6056,54987
3.6112,54984
3.6168,54975
3.6222,54981
3.6278,54984
3.6335,54982
3.6388,54983
3.6444,54975
3.6501,54980
3.6554,54981
3.6611,54985
3.6667,54983
3.6723,54980
3.6777,54985
3.6833,54982
3.689,54991
3.6946,54988
3.6999,54981
3.7056,54986
3.7112,54983
3.7165,54989
3.7222,54981
3.7278,54978
3.7334,54980
3.7391,54979
3.7444,54979
3.7501,54984
3.7554,54977
3.7611,54977
3.7667,54978
3.7724,54977
3.7777,54980
3.7833,54980
3.7889,54980
3.7943,54984
3.8,54982
3.8056,54979
3.8112,54977
3.8166,54980
3.8222,54980
3.8278,54971
3.8335,54977
3.8388,54981
3.8445,54973
3.8501,54968
3.8557,54971
3.8611,54975
3.8667,54977
3.8723,54977
3.8777,54979
3.8833,54985
3.8889,54978
3.8946,54975
3.8999,54975
3.9055,54977
3.9111,54976
3.9167,54979
3.9224,54977
3.9277,54980
3.9333,54979
3.9389,54985
3.9445,54981
3.9499,54978
3.9555,54990
3.9611,54984
3.9667,54978
3.9724,54984
3.9778,54977
3.9834,54978
3.9889,54982
3.9945,54974
4.0002,54977
4.0056,54977
4.0112,54978
4.0165,54977
4.0222,54982
4.0278,54979
4.0334,54981
4.0391,54977
4.0444,54980
4.0501,54985
4.0557,54982
4.0611,54978
4.0667,54974
4.0723,54984
4.0777,54988
4.0833,54979
4.0889,54984
4.0946,54991
4.0999,54982
4.1055,54983
4.1112,54987
4.1168,54978
4.1221,54989
4.1278,54984
4.1334,54980
4.139,54987
4.1444,54982
4.15,54980
4.1556,54981
4.161,54978
4.1666,54983
4.1722,54988
4.1779,54983
4.1832,54981
4.1888,54985
4.1945,54985
4.2001,54986
4.2055,54987
4.2111,54984
4.2167,54986
4.2223,54987
4.2277,54982
4.2333,54980
4.2389,54981
4.2446,54982
