Experiment: Feb_24_Turb_expt vial 12, Wed Feb 24 18:13:41 2021
5.0456,56528
5.0509,56535
5.0566,56529
5.0622,56535
5.0676,56533
5.0732,56529
5.0789,56525
5.0842,56527
5.0899,56532
5.0955,56524
5.1012,56524
5.1065,56534
5.1122,56529
5.1178,56524
5.1232,56525
5.1288,56533
5.1344,56531
5.1401,56523
5.1454,56525
5.151,56529
5.1567,56532
5.162,56529
5.1677,56532
5.1733,56533
5.1787,56537
5.1843,56534
5.19,56537
5.1956,56532
5.201,56532
5.2066,56534
5.2123,56527
5.2176,56526
5.2233,56527
5.2289,56518
5.2343,56519
5.2399,56523
5.2455,56519
5.2509,56522
5.2566,56521
5.2622,56508
5.2676,56521
5.2732,56527
5.2788,56521
5.2845,56524
5.2899,56524
5.2955,56522
5.3011,56519
5.3065,56524
5.3121,56528
5.3178,56523
5.3231,56523
5.3288,56533
5.3344,56519
5.3398,56526
5.3454,56529
5.3511,56528
5.3564,56532
5.3621,56532
5.3677,56524
5.3734,56530
5.3787,56540
5.3844,56536
5.39,56544
5.3954,56532
5.401,56533
5.4067,56532
5.412,56539
5.4177,56532
5.4233,56529
5.4287,56528
5.4343,56533
5.4399,56520
5.4456,56530
5.4509,56530
5.4566,56518
5.4622,56520
5.4676,56521
5.4732,56521
5.4788,56516
5.4844,56521
5.4898,56526
5.4954,56520
5.5011,56533
5.5067,56522
5.512,56527
5.5176,56519
5.5232,56517
5.5289,56519
5.5345,56522
5.5398,56529
5.5454,56526
5.5511,56526
5.5565,56527
5.5621,56531
5.5676,56523
5.5732,56528
5.5789,56531
5.5842,56530
5.5899,56532
5.5954,56531
5.601,56533
5.6067,56536
5.612,56538
5.6177,56532
5.6232,56536
5.6288,56542
5.6345,56543
5.6398,56547
5.6455,56544
5.651,56545
5.6566,56542
5.6623,56547
5.6676,56537
5.6733,56545
5.6788,56540
5.6845,56535
5.6898,56539
5.6955,56530
5.7011,56541
5.7065,56536
5.7121,56542
5.7178,56536
5.7231,56539
5.7288,56540
5.7344,56538
5.7398,56529
5.7454,56534
5.7511,56542
5.7567,56536
5.7621,56536
5.7677,56543
5.7734,56533
5.7787,56539
5.7844,56534
5.79,56541
5.7954,56528
5.801,56534
5.8067,56535
5.812,56537
5.8177,56535
5.8233,56537
5.8287,56529
5.8343,56530
5.84,56532
5.8456,56532
5.851,56531
5.8566,56533
5.8622,56535
5.8676,56538
5.8732,56531
5.8789,56530
5.8842,56532
5.8899,56533
5.8955,56531
5.9011,56528
5.9065,56529
5.9122,56518
5.9178,56525
5.9232,56527
5.9288,56533
5.9344,56531
5.9398,56532
5.9454,56525
5.9511,56520
5.9564,56523
5.9621,56524
5.9677,56527
5.9733,56521
5.9787,56527
5.9843,56525
5.99,56527
5.9956,56520
6.0009,56529
6.0066,56533
6.0122,56524
6.0176,56530
6.0232,56527
6.0289,56524
6.0342,56534
6.0399,56531
6.0455,56525
6.0511,56529
6.0565,56522
6.0621,56526
6.0678,56525
6.0731,56528
6.0788,56520
6.0844,56512
6.09,56528
6.0954,56528
6.101,56522
6.1067,56520
6.112,56515
6.1177,56519
6.1233,56521
6.1287,56520
6.1343,56521
6.14,56528
6.1453,56529
6.151,56522
6.1566,56524
6.162,56528
6.1676,56531
6.1733,56526
6.1789,56524
6.1843,56523
6.1899,56521
6.1956,56523
6.2009,56526
6.2066,56515
6.2122,56522
6.2176,56520
6.2232,56508
6.2288,56525
6.2342,56527
6.2399,56523
6.2455,56517
6.2511,56519
6.2565,56513
6.2621,56517
6.2675,56519
6.2732,56520
6.2788,56519
6.2844,56521
6.2898,56523
6.2954,56516
6.3011,56526
6.3064,56521
6.3121,56513
6.3177,56527
6.3233,56523
6.3287,56529
6.3344,56523
6.3397,56528
6.3454,56523
6.351,56516
6.3567,56509
6.362,56526
6.3677,56520
6.3733,56520
6.3787,56525
6.3843,56515
6.39,56521
6.3953,56525
6.401,56527
6.4066,56516
6.412,56522
6.4176,56522
6.4233,56517
6.4289,56515
6.4343,56523
6.4399,56516
6.4455,56514
6.4509,56513
6.4565,56516
6.4622,56515
6.4678,56512
6.4731,56510
6.4788,56508
6.4844,56515
6.4898,56507
6.4954,56510
6.501,56511
6.5067,56502
6.5121,56506
6.5177,56495
6.5233,56504
6.5287,56510
6.5343,56508
6.5399,56507
6.5453,56513
6.551,56513
6.5566,56509
6.562,56506
6.5676,56508
6.5733,56521
6.5786,56512
6.5843,56511
6.5899,56514
6.5955,56515
6.6009,56507
6.6065,56506
6.6122,56510
6.6175,56518
6.6232,56520
6.6288,56523
6.6345,56518
6.6398,56527
6.6454,56525
6.6508,56522
6.6565,56528
6.6621,56529
6.6677,56529
6.6731,56523
6.6787,56527
6.6844,56527
6.69,56529
6.6954,56520
6.701,56521
6.7066,56525
6.712,56523
6.7177,56528
6.723,56524
6.7287,56526
6.7343,56527
6.74,56521
6.7453,56516
6.751,56524
6.7566,56517
6.762,56527
6.7676,56527
6.7732,56523
6.7786,56517
6.7842,56528
6.7899,56527
6.7955,56526
6.8009,56526
6.8065,56525
6.8122,56521
6.8178,56524
6.8231,56520
6.8288,56517
6.8344,56516
6.8398,56515
6.8454,56517
6.851,56527
6.8564,56519
6.862,56522
6.8676,56509
6.8733,56512
6.8786,56514
6.8843,56522
6.8899,56523
6.8955,56514
6.9009,56524
6.9065,56521
6.9122,56526
6.9175,56521
6.9232,56515
6.9288,56510
6.9344,56518
6.9398,56516
6.9454,56515
6.9511,56512
6.9565,56516
6.9621,56512
6.9677,56510
6.9731,56517
6.9787,56517
6.9844,56512
6.9897,56518
6.9953,56515
7.001,56512
7.0067,56512
7.012,56518
7.0177,56520
7.0233,56517
7.0287,56509
7.0343,56507
7.04,56510
7.0453,56511
7.051,56509
7.0567,56511
7.062,56510
7.0677,56506
7.0733,56504
7.0786,56517
7.0843,56511
7.0899,56503
7.0955,56512
7.1009,56512
7.1065,56506
7.1122,56509
7.1178,56503
7.1231,56502
7.1288,56505
7.1344,56500
7.1398,56507
7.1453,56505
7.151,56500
7.1566,56503
7.1622,56507
7.1676,56506
7.1731,56506
7.1788,56508
7.1844,56501
7.19,56510
7.1954,56501
7.2009,56505
7.2066,56508
7.2122,56508
7.2176,56511
7.2232,56508
7.2287,56501
7.2344,56495
7.24,56498
7.2454,56501
7.251,56492
7.2566,56504
7.2622,56513
7.2676,56492
7.2732,56494
7.2788,56502
7.2844,56501
7.29,56497
7.2954,56494
7.301,56499
7.3066,56499
7.312,56496
7.3176,56501
7.3233,56502
7.3289,56503
7.3343,56499
7.3399,56505
7.3455,56496
7.3509,56495
7.3565,56503
7.3622,56503
7.3678,56496
7.3732,56499
7.3788,56499
7.3844,56499
7.3898,56503
7.3954,56511
7.401,56514
7.4067,56510
7.412,56516
7.4177,56523
7.4233,56521
7.4289,56522
7.4343,56516
7.4399,56518
7.4455,56517
7.4512,56515
7.4565,56518
7.4621,56519
7.4678,56518
7.4731,56513
7.4788,56510
7.4844,56516
7.49,56507
7.4954,56507
7.501,56514
7.5067,56500
7.5121,56504
7.5177,56503
7.5233,56497
7.5287,56488
7.5343,56480
7.5399,56479
7.5456,56483
7.5509,56484
7.5566,56490
7.5622,56493
7.5676,56496
7.5732,56498
7.5789,56490
7.5842,56495
7.5899,56497
7.5955,56502
7.6011,56501
7.6067,56503
7.6121,56504
7.6177,56495
7.6233,56498
7.6287,56499
7.6343,56499
7.6399,56510
7.6456,56515
7.651,56517
7.6566,56513
7.6622,56522
7.6676,56528
7.6732,56527
7.6789,56527
7.6842,56539
7.6898,56528
7.6955,56519
7.7011,56517
7.7065,56520
7.7121,56521
7.7178,56527
7.7231,56539
7.7288,56535
7.7344,56538
7.7401,56538
7.7454,56536
7.7511,56539
7.7567,56540
7.7621,56535
7.7677,56539
7.7733,56543
7.7787,56531
7.7844,56526
7.79,56531
7.7953,56530
7.801,56529
7.8066,56540
7.8123,56533
7.8176,56535
7.8232,56534
7.8289,56527
7.8342,56524
7.8399,56540
7.8455,56529
7.8511,56535
7.8565,56519
7.8621,56527
7.8678,56528
7.8734,56512
7.8788,56525
7.8844,56534
7.89,56533
7.8954,56526
7.9011,56528
7.9067,56530
7.9121,56525
7.9177,56522
7.9234,56516
7.9287,56525
7.9344,56517
7.94,56517
7.9454,56521
7.9511,56523
7.9567,56531
7.962,56524
7.9677,56523
7.9733,56528
7.9787,56527
7.9843,56528
7.99,56523
7.9956,56523
8.0009,56529
8.0066,56525
8.0123,56522
8.0176,56519
8.0231,56503
8.0287,56512
8.0344,56505
8.04,56508
8.0453,56502
8.051,56501
8.0566,56498
8.0622,56503
8.0676,56505
8.0732,56503
8.0789,56509
8.0845,56506
8.0898,56503
8.0953,56505
8.101,56506
8.1066,56500
8.1122,56500
8.1176,56499
8.1232,56497
8.1287,56510
8.1343,56507
8.1399,56509
8.1453,56502
8.151,56509
8.1566,56507
8.1622,56506
8.1676,56510
8.1732,56512
8.1787,56520
8.1843,56519
8.19,56523
8.1954,56517
8.201,56520
8.2066,56523
8.212,56519
8.2177,56524
8.2233,56517
8.2287,56521
8.2343,56513
8.24,56517
8.2454,56518
8.251,56518
8.2566,56522
8.262,56520
8.2676,56516
8.2733,56515
8.2787,56511
8.2844,56511
8.29,56505
8.2954,56507
8.301,56509
8.3066,56507
8.312,56511
8.3177,56513
8.3233,56506
8.3287,56506
8.3344,56508
8.34,56502
8.3454,56508
8.351,56514
8.3566,56513
8.362,56506
8.3676,56501
8.3733,56508
8.3787,56512
8.3843,56515
8.3899,56520
8.3954,56523
8.401,56521
8.4067,56514
8.412,56522
8.4177,56523
8.4233,56528
8.4286,56519
8.4343,56529
8.4399,56523
8.4454,56517
8.451,56528
8.4567,56524
8.462,56513
8.4677,56519
8.4733,56522
8.4786,56523
8.4843,56518
8.4899,56521
8.4954,56526
8.501,56528
8.5067,56522
8.512,56523
8.5177,56523
8.5233,56519
8.5287,56519
