Experiment: Mar_5_T2_Turb_expt vial 1, Fri Mar  5 18:09:41 2021
3.4824,28260
3.4881,28247
3.4935,28264
3.4992,28268
3.5046,28269
3.51,28272
3.5157,28238
3.5212,28264
3.5269,28258
3.5325,28246
3.538,28246
3.5437,28242
3.5491,28258
3.5548,28240
3.5602,28244
3.5659,28236
3.5713,28235
3.577,28241
3.5824,28227
3.5881,28239
3.5935,28225
3.5992,28237
3.6046,28251
3.6101,28222
3.6158,28219
3.6212,28225
3.6269,28208
3.6323,28206
3.638,28206
3.6434,28218
3.6491,28201
3.6548,28211
3.6602,28194
3.6659,28194
3.6713,28189
3.677,28194
3.6824,28203
3.6881,28186
3.6935,28193
3.699,28170
3.7047,28184
3.7101,28186
3.7157,28170
3.7214,28163
3.7268,28180
3.7324,28184
3.7381,28170
3.7436,28165
3.749,28181
3.7547,28157
3.7601,28169
3.7658,28170
3.7713,28187
3.7769,28157
3.7824,28167
3.7881,28166
3.7935,28165
3.7992,28166
3.8047,28155
3.8104,28161
3.8158,28149
3.8214,28158
3.8268,28171
3.8325,28144
3.838,28133
3.8436,28143
3.8491,28143
3.8548,28135
3.8602,28127
3.8659,28125
3.8713,28114
3.8767,28117
3.8824,28118
3.8878,28124
3.8935,28103
3.8992,28085
3.9046,28107
3.9103,28101
3.9157,28092
3.9214,28086
3.9269,28079
3.9325,28076
3.938,28085
3.9436,28081
3.949,28070
3.9547,28076
3.9601,28081
3.9657,28095
3.9714,28067
3.9768,28084
3.9825,28070
3.9879,28076
3.9936,28048
3.999,28073
4.0047,28064
4.0104,28071
4.0158,28068
4.0215,28045
4.0269,28061
4.0326,28048
4.038,28045
4.0437,28046
4.0491,28052
4.0548,28020
4.0602,28018
4.0659,28010
4.0713,28020
4.077,28012
4.0824,28023
4.0881,28012
4.0936,28005
4.0992,28025
4.1046,28028
4.1103,28001
4.1157,28004
4.1212,28007
4.1269,28008
4.1326,27997
4.138,27985
4.1437,28004
4.149,27997
4.1547,28001
4.1601,27984
4.1658,27966
4.1712,27976
4.1768,27966
4.1825,27963
4.1879,27963
4.1936,27952
4.1991,27958
4.2046,27968
4.2103,27978
4.2157,27958
4.2214,27941
4.2268,27947
4.2325,27948
4.2382,27944
4.2436,27940
4.2493,27947
4.2547,27928
4.2603,27932
4.266,27931
4.2714,27941
4.2768,27913
4.2825,27944
4.2881,27921
4.2935,27922
4.2992,27909
4.3046,27904
4.3103,27909
4.3157,27892
4.3214,27880
4.3268,27897
4.3325,27897
4.3379,27892
4.3436,27877
4.349,27895
4.3547,27871
4.3601,27866
4.3658,27875
4.3712,27874
4.3768,27865
4.3826,27871
4.388,27874
4.3937,27859
4.3991,27837
4.4048,27844
4.4102,27834
4.4159,27848
4.4213,27850
4.4268,27826
4.4325,27817
4.4379,27820
4.4436,27814
4.4493,27819
4.4547,27820
4.4604,27812
4.4658,27811
4.4715,27800
4.4769,27801
4.4826,27802
4.488,27806
4.4937,27800
4.4991,27796
4.5048,27798
4.5102,27800
4.5158,27797
4.5213,27799
4.527,27799
4.5324,27781
4.538,27782
4.5437,27783
4.5491,27786
4.5548,27799
4.5602,27775
