Experiment: April_27_Phage_Osmo_expt vial 11, Tue Apr 27 19:11:23 2021
3.305,56231
3.3104,56233
3.316,56235
3.3217,56235
3.3273,56234
3.3327,56230
3.3383,56233
3.344,56236
3.3493,56235
3.3549,56231
3.3606,56236
3.3659,56233
3.3716,56229
3.3772,56235
3.3829,56234
3.3882,56230
3.3939,56233
3.3995,56233
3.4048,56234
3.4105,56232
3.4161,56229
3.4218,56233
3.4271,56234
3.4328,56232
3.4384,56231
3.4438,56232
3.4494,56232
3.4551,56233
3.4604,56237
3.4661,56237
3.4717,56234
3.4771,56235
3.4827,56235
3.4883,56233
3.494,56235
3.4993,56234
3.505,56236
3.5106,56234
3.516,56232
3.5216,56231
3.5272,56233
3.5329,56234
3.5382,56234
3.5439,56233
3.5495,56232
3.5549,56235
3.5605,56234
3.5662,56230
3.5715,56232
3.5772,56232
3.5828,56233
3.5885,56231
3.5938,56232
3.5995,56232
3.6051,56227
3.6105,56230
3.6161,56239
3.6217,56230
3.6271,56231
3.6327,56234
3.6384,56232
3.6438,56229
3.6494,56238
3.655,56236
3.6607,56233
3.666,56233
3.6717,56233
3.6773,56234
3.6827,56238
3.6883,56235
3.6939,56235
3.6993,56235
3.705,56236
3.7106,56232
3.716,56236
3.7216,56237
3.7272,56234
3.7329,56234
3.7382,56236
3.7439,56233
3.7495,56236
3.7549,56236
3.7605,56235
3.7662,56237
3.7715,56237
3.7771,56230
3.7828,56233
3.7884,56236
3.7938,56231
3.7994,56232
3.8051,56236
3.8104,56234
3.8161,56226
3.8217,56234
3.8273,56235
3.8327,56234
3.8383,56228
3.844,56236
3.8493,56233
3.855,56233
3.8606,56236
3.8662,56233
3.8716,56235
3.8772,56230
3.8829,56230
3.8882,56229
3.8939,56240
3.8995,56226
3.9049,56228
3.9105,56236
3.916,56235
3.9216,56231
3.9273,56232
3.9329,56235
3.9383,56233
3.9438,56231
3.9494,56235
3.9551,56233
3.9607,56229
3.966,56231
3.9716,56232
3.9772,56235
3.9829,56237
3.9882,56234
3.9939,56234
3.9994,56234
4.0051,56236
4.0107,56238
4.0161,56236
4.0217,56235
4.0272,56232
4.0329,56228
4.0382,56233
4.0439,56229
4.0495,56231
4.0549,56234
4.0605,56233
4.0662,56230
4.0715,56229
4.0772,56230
4.0828,56230
4.0885,56231
4.0938,56229
4.0995,56228
4.1051,56230
4.1105,56230
4.1161,56230
4.1217,56230
4.1274,56228
4.1327,56229
4.1384,56233
4.144,56235
4.1493,56231
4.155,56230
4.1606,56234
4.1663,56231
4.1716,56229
4.1773,56233
4.1827,56231
4.1883,56227
4.1939,56231
4.1996,56229
4.205,56229
4.2106,56228
4.2162,56233
4.2216,56229
4.2272,56233
4.2329,56232
4.2383,56224
4.2439,56233
4.2496,56231
4.2549,56229
4.2606,56233
4.2662,56229
4.2718,56227
4.2772,56228
4.2828,56234
4.2885,56232
4.2938,56229
4.2995,56232
4.3051,56232
4.3107,56233
4.3161,56232
4.3217,56233
4.3274,56232
4.3327,56232
4.3384,56230
4.344,56227
4.3494,56232
4.355,56232
4.3607,56228
4.366,56228
4.3717,56230
4.3773,56225
4.383,56230
4.3883,56232
4.3939,56226
4.3996,56231
4.405,56232
4.4106,56229
4.4163,56228
4.4216,56229
4.4273,56230
4.4329,56231
4.4383,56232
4.4439,56231
4.4495,56232
4.4549,56233
4.4605,56228
4.4662,56231
4.4718,56233
4.4772,56232
4.4828,56232
4.4884,56233
4.4938,56229
4.4994,56229
4.5051,56231
4.5107,56229
4.5161,56227
4.5217,56230
4.5274,56228
4.5327,56226
4.5384,56227
4.544,56230
4.5494,56225
4.555,56222
4.5607,56225
4.566,56228
4.5717,56224
4.5773,56229
4.5829,56231
4.5883,56227
4.5939,56227
4.5996,56223
4.6052,56225
4.6106,56226
4.6162,56227
4.6218,56228
4.6272,56226
4.6328,56229
4.6385,56229
4.6438,56226
4.6495,56231
4.6551,56228
4.6605,56226
4.6661,56227
4.6717,56228
4.6774,56229
4.6827,56230
4.6884,56233
4.694,56229
4.6994,56232
4.7051,56230
4.7107,56228
4.716,56231
4.7217,56238
4.7273,56230
4.7327,56230
4.7383,56237
4.7439,56233
4.7496,56233
4.7549,56232
4.7606,56227
4.7662,56227
4.7719,56234
4.7772,56229
4.7829,56234
4.7885,56235
4.7939,56231
4.7995,56228
4.8051,56234
4.8105,56236
4.8162,56229
4.8218,56233
4.8271,56232
4.8328,56232
4.8384,56229
4.844,56233
4.8494,56229
4.855,56236
4.8607,56234
4.866,56230
4.8717,56235
4.8773,56232
4.8829,56234
4.8883,56232
4.8939,56230
4.8996,56232
4.9049,56231
4.9106,56232
4.9162,56232
4.9219,56231
4.9272,56232
4.9329,56230
4.9382,56232
4.9439,56234
4.9495,56238
4.9552,56234
4.9605,56232
4.9662,56234
4.9718,56233
4.9772,56235
4.9828,56239
4.9884,56233
4.9941,56236
4.9994,56238
5.0051,56239
5.0107,56236
5.0161,56237
5.0217,56231
5.0274,56232
5.0327,56236
5.0383,56228
5.044,56235
5.0496,56235
5.055,56229
5.0606,56229
5.0663,56233
5.0716,56233
5.0773,56231
5.0829,56233
5.0883,56229
5.0939,56228
5.0996,56232
5.1052,56235
5.1105,56229
5.1162,56235
5.1218,56234
5.1272,56233
5.1328,56235
5.1384,56233
5.1441,56229
5.1494,56232
5.1551,56233
5.1607,56235
5.1661,56236
5.1717,56236
5.1773,56234
5.183,56235
5.1883,56234
5.194,56234
5.1996,56230
5.205,56233
5.2106,56236
5.2162,56232
5.2219,56234
5.2272,56239
5.2329,56233
5.2385,56235
5.2439,56239
5.2495,56233
5.2552,56237
5.2605,56230
5.2662,56232
5.2718,56234
5.2772,56234
5.2828,56237
5.2885,56238
5.2941,56236
5.2995,56233
5.3051,56233
5.3105,56236
5.3161,56237
5.3218,56234
5.3274,56233
5.3328,56233
5.3384,56235
5.3441,56234
5.3494,56237
5.355,56234
5.3607,56237
5.3663,56239
5.3717,56233
5.3773,56236
5.383,56238
5.3883,56234
5.394,56233
5.3996,56235
5.405,56234
5.4106,56241
5.4162,56237
5.4219,56232
5.4272,56232
5.4329,56235
5.4385,56235
5.4439,56236
5.4495,56241
5.4552,56235
5.4606,56232
5.4662,56236
5.4718,56236
5.4772,56232
5.4828,56238
5.4885,56231
5.4941,56233
5.4995,56239
5.5051,56232
5.5107,56230
5.5161,56238
5.5217,56231
5.5274,56229
5.533,56234
5.5383,56235
5.544,56236
5.5494,56229
5.5551,56230
5.5607,56236
5.5663,56232
5.5717,56236
5.5772,56235
5.5829,56235
5.5885,56238
5.5941,56233
5.5995,56236
5.605,56238
5.6107,56237
5.6161,56236
5.6217,56240
5.6274,56234
5.6327,56237
5.6384,56239
5.644,56236
