Experiment: Feb_19_real_eric2_expt vial 3, Fri Feb 19 13:52:14 2021
4.7744,26664
4.7799,26575
4.7856,26591
4.7912,26574
4.7967,26542
4.8023,26538
4.8077,26521
4.8134,26511
4.8188,26523
4.8245,26525
4.8299,26597
4.8356,26665
4.8411,26596
4.8467,26643
4.8521,26587
4.8578,26574
4.8632,26542
4.8689,26567
4.8743,26499
4.88,26523
4.8856,26469
4.891,26519
4.8965,26453
4.9022,26459
4.9076,26564
4.9133,26592
4.919,26604
4.9244,26583
4.93,26606
4.9354,26557
4.9412,26565
4.9465,26508
4.9522,26512
4.9576,26507
4.9633,26469
4.9687,26482
4.9744,26517
4.9798,26492
4.9855,26543
4.991,26575
4.9967,26595
5.0021,26581
5.0077,26526
5.0134,26533
5.0189,26514
5.0245,26494
5.0299,26483
5.0356,26441
5.041,26448
5.0467,26437
5.0521,26454
5.0578,26419
5.0632,26517
5.0689,26573
5.0743,26590
5.08,26513
5.0856,26516
5.0911,26491
5.0968,26515
5.1022,26461
5.1079,26493
5.1133,26435
5.1189,26450
5.1244,26441
5.1301,26458
5.1355,26461
5.1412,26540
5.1467,26577
5.1524,26571
5.1577,26541
5.1634,26528
5.1688,26489
5.1745,26495
5.1799,26466
5.1856,26438
5.191,26399
5.1966,26397
5.2023,26388
5.2077,26416
5.2132,26399
5.2189,26490
5.2243,26564
5.23,26533
5.2354,26545
5.2411,26493
5.2468,26484
5.2522,26471
5.2579,26417
5.2633,26456
5.2689,26396
5.2743,26383
5.28,26390
5.2855,26384
5.2912,26390
5.2966,26448
5.3023,26532
5.3077,26506
5.3134,26463
5.3188,26454
5.3245,26408
5.3299,26426
5.3355,26409
5.3412,26428
5.3466,26392
5.3523,26392
5.3577,26378
5.3634,26393
5.3688,26390
5.3745,26475
5.3799,26511
5.3856,26511
5.391,26480
5.3967,26454
5.4021,26431
5.4078,26428
5.4134,26403
5.4188,26412
5.4245,26383
5.4299,26448
5.4356,26372
5.441,26386
5.4468,26390
5.4522,26433
5.4576,26458
5.4633,26488
5.469,26456
5.4744,26462
5.4798,26482
5.4855,26418
5.4912,26410
5.4966,26403
5.5023,26372
5.5077,26348
5.5134,26325
5.5188,26368
5.5245,26335
5.5299,26433
5.5356,26470
5.541,26504
5.5467,26477
5.5523,26449
5.5578,26436
5.5635,26396
5.5689,26392
5.5746,26315
5.5799,26369
5.5856,26346
5.5911,26304
5.5968,26358
5.6022,26343
5.6076,26424
5.6134,26432
5.6188,26408
5.6245,26447
5.6301,26404
5.6355,26348
5.6412,26345
5.6466,26373
5.6523,26351
5.6577,26325
5.6634,26350
5.6688,26349
5.6745,26321
5.6799,26326
5.6856,26419
5.691,26438
5.6967,26444
5.7021,26388
5.7077,26417
5.7132,26386
5.7189,26383
5.7245,26318
5.73,26362
5.7356,26312
5.741,26335
5.7467,26280
5.7521,26268
5.7578,26312
5.7633,26363
5.769,26404
5.7744,26403
5.7801,26375
5.7854,26366
5.7911,26396
5.7968,26355
5.8022,26331
5.8079,26326
5.8133,26297
5.8189,26322
5.8244,26305
5.8301,26273
5.8355,26304
5.8412,26385
5.8466,26395
5.8523,26390
5.8577,26388
5.8633,26355
5.8688,26350
5.8744,26343
5.8801,26342
5.8855,26335
5.8912,26321
5.8965,26307
5.9022,26317
5.9077,26260
5.9134,26262
5.9188,26354
5.9245,26392
5.9299,26383
5.9356,26351
5.9409,26338
5.9467,26344
5.9521,26328
5.9578,26312
5.9635,26313
5.9688,26297
5.9745,26277
5.9799,26239
5.9856,26246
5.9911,26285
5.9968,26327
6.0022,26392
6.0076,26347
6.0133,26347
6.0189,26352
6.0244,26360
6.0299,26292
6.0355,26290
6.0412,26271
6.0466,26315
6.0523,26223
6.0577,26264
6.0634,26227
6.0689,26233
6.0746,26299
6.08,26363
6.0854,26345
6.0911,26368
6.0967,26359
6.1022,26285
6.1079,26346
6.1132,26265
6.1189,26279
6.1246,26285
6.13,26269
6.1357,26281
6.1411,26213
6.1468,26294
6.1522,26273
6.1579,26357
6.1633,26350
6.169,26368
6.1744,26286
6.1801,26304
6.1855,26307
6.1911,26283
6.1965,26302
6.2022,26248
6.2079,26240
6.2133,26236
6.219,26189
6.2244,26266
6.2299,26309
6.2356,26332
6.241,26320
6.2467,26271
6.2523,26300
6.2578,26276
6.2632,26262
6.2688,26262
6.2743,26299
6.2799,26279
6.2856,26250
6.291,26239
6.2967,26228
6.3021,26168
6.3079,26264
6.3133,26298
6.319,26303
6.3244,26296
6.33,26316
6.3354,26340
6.3411,26270
6.3468,26302
6.3522,26277
6.3579,26296
6.3633,26279
6.369,26236
6.3745,26248
6.3799,26186
6.3856,26257
6.391,26343
6.3967,26313
6.4024,26330
6.4078,26276
6.4135,26266
6.4189,26234
6.4246,26263
6.43,26281
6.4357,26254
6.441,26253
6.4468,26197
6.4522,26220
6.4579,26253
6.4633,26288
6.469,26281
6.4744,26286
6.4801,26338
6.4855,26326
6.4912,26272
6.4966,26260
6.5023,26305
6.5077,26175
6.5134,26261
6.519,26183
6.5244,26184
6.5301,26266
6.5356,26215
6.5413,26282
6.5467,26329
6.5524,26321
6.5577,26301
6.5634,26273
6.5688,26223
6.5745,26272
6.5799,26186
6.5856,26261
6.5909,26213
6.5966,26247
6.6023,26239
6.6077,26213
6.6134,26202
6.6189,26296
6.6246,26335
6.63,26394
6.6356,26263
6.641,26346
6.6467,26265
6.6521,26273
6.6578,26304
6.6632,26250
6.6689,26234
6.6745,26278
6.6799,26299
6.6856,26232
6.6911,26243
6.6968,26331
6.7022,26338
6.7079,26340
6.7133,26295
6.7189,26298
6.7244,26294
6.7301,26313
6.7354,26252
6.7411,26252
6.7465,26256
6.7522,26216
6.7579,26186
6.7633,26228
6.7687,26266
6.7744,26308
6.7801,26334
6.7855,26306
6.7912,26388
6.7966,26328
6.8023,26297
6.8077,26317
6.8134,26295
6.8188,26318
6.8244,26267
6.8301,26255
6.8355,26232
6.8412,26283
6.8466,26230
6.8523,26322
6.8578,26336
6.8632,26353
6.8688,26326
6.8745,26260
6.8799,26226
6.8856,26247
6.8913,26290
6.8967,26279
6.9023,26275
6.9077,26266
6.9134,26220
6.9189,26239
6.9246,26193
6.93,26318
6.9357,26354
6.9411,26295
6.9468,26319
6.9521,26367
6.9578,26278
6.9632,26229
6.9689,26257
6.9743,26230
6.98,26250
6.9856,26198
6.991,26232
6.9967,26227
7.0021,26194
7.0078,26263
7.0133,26320
7.019,26337
7.0246,26327
7.03,26344
7.0357,26284
7.0411,26316
7.0467,26258
7.0522,26260
7.0578,26248
7.0632,26193
7.0689,26275
7.0744,26227
7.0801,26235
7.0855,26336
7.0912,26343
7.0966,26334
7.1022,26302
7.1079,26306
7.1134,26324
7.1188,26241
7.1244,26304
7.1299,26305
7.1355,26315
7.1412,26270
7.1466,26292
7.1523,26249
7.1577,26268
7.1634,26283
7.1688,26328
7.1745,26323
7.1799,26359
7.1855,26364
7.191,26296
7.1967,26355
7.2023,26311
7.2078,26273
7.2134,26307
7.2188,26273
7.2245,26324
7.2299,26265
7.2356,26266
7.2411,26291
7.2468,26347
7.2522,26398
7.2578,26328
7.2635,26292
7.2689,26355
7.2743,26321
7.28,26312
7.2857,26243
7.2911,26299
7.2967,26281
7.302,26291
7.3078,26223
7.3135,26268
7.3189,26348
7.3243,26322
7.3299,26353
7.3355,26322
7.3412,26319
7.3466,26300
7.3523,26287
7.3577,26318
7.3634,26315
7.3688,26256
7.3744,26269
7.3801,26246
7.3855,26273
7.3912,26244
7.3966,26342
7.4023,26336
7.4078,26362
7.4133,26360
7.419,26351
7.4244,26335
7.4301,26338
7.4355,26324
7.4411,26301
7.4468,26301
7.4522,26329
7.4579,26284
7.4633,26273
7.469,26277
7.4743,26353
7.48,26323
7.4855,26319
7.4911,26309
7.4968,26303
7.5022,26294
7.5079,26310
7.5133,26369
7.519,26282
7.5244,26283
7.53,26303
7.5355,26192
7.5412,26157
7.5466,26239
7.5523,26291
7.5577,26344
7.5634,26328
7.5688,26332
7.5744,26294
7.5799,26319
7.5856,26297
7.5912,26297
7.5967,26261
7.6023,26234
7.6077,26239
7.6134,26224
7.6189,26251
7.6246,26243
7.63,26283
7.6357,26309
7.6411,26337
7.6468,26336
7.6521,26249
7.6578,26314
7.6632,26312
7.6689,26254
7.6746,26274
7.6799,26261
7.6856,26288
7.691,26303
7.6967,26237
7.7022,26230
7.7078,26247
7.7133,26355
7.719,26368
7.7243,26359
7.73,26338
7.7354,26322
7.7411,26360
7.7468,26298
7.7522,26252
7.7578,26273
7.7635,26303
7.7689,26276
