Experiment: Feb_23_T2_chemo_expt vial 5, Tue Feb 23 14:55:02 2021
4.2665,37285
4.2721,37049
4.2776,37023
4.283,36883
4.2887,36930
4.2943,36732
4.2997,36794
4.3054,37102
4.3111,36871
4.3164,36867
4.3221,36776
4.3277,36860
4.3331,36895
4.3387,36689
4.3441,36829
4.3498,36757
4.3554,36921
4.3608,37076
4.3665,36700
4.3722,36726
4.3775,36749
4.3832,36857
4.3887,36921
4.3944,36988
4.3997,36725
4.4054,36873
4.411,36779
4.4164,36973
4.4221,36699
4.4277,36888
4.433,36605
4.4387,37030
4.4444,36824
4.4497,36920
4.4554,36855
4.4611,36990
4.4664,36720
4.4721,36973
4.4775,36708
4.4831,36631
4.4888,37123
4.4944,36875
4.4998,36928
4.5055,36808
4.5108,36540
4.5165,36879
4.5221,36906
4.5275,36655
4.5331,37072
4.5388,36636
4.5442,36859
4.5498,36958
4.5554,36794
4.5611,36778
4.5665,36767
4.5722,36944
4.5776,36819
4.5832,36813
4.5886,36720
4.5942,36938
4.5999,36805
4.6055,36769
4.6109,36782
4.6165,36845
4.6222,36756
4.6275,36545
4.6332,36614
4.6388,36590
4.6442,36485
4.6498,36789
4.6555,36768
4.6608,36813
4.6665,36843
4.6719,36491
4.6776,36817
4.6832,36887
4.6887,36591
4.6942,36518
4.6999,36727
4.7053,36735
4.711,36884
4.7164,36716
4.7221,36895
4.7274,36633
4.7331,36737
4.7388,36679
4.7441,36768
4.7498,36825
4.7554,36846
4.761,36590
4.7664,36737
4.7721,36477
4.7775,36584
4.7831,36833
4.7888,36717
4.7944,36516
4.7998,36652
4.8055,36748
4.8109,36696
4.8165,36863
4.8222,36897
4.8275,36644
4.8332,36692
4.8388,36838
4.8442,36896
4.8499,36652
4.8555,36802
4.8609,36520
4.8665,36827
4.8722,36457
4.8775,36590
4.8832,36771
4.8886,36763
4.8942,36608
4.8999,36857
4.9053,36836
4.9109,36619
4.9166,36563
4.922,36453
4.9276,36692
4.9333,36928
4.9387,36810
4.9444,36800
4.9498,36617
4.9554,36795
4.9611,36876
4.9665,36661
4.9721,36597
4.9775,36744
4.9831,36548
4.9888,36514
4.9944,36656
4.9998,36801
5.0052,36440
5.0109,36782
5.0165,36592
5.0219,36689
5.0276,36527
5.0332,36501
5.0389,36736
5.0442,36684
5.0499,36780
